store,initial longitude,initial latitude,neighbor id,neighbor store,neighbor longitude,neighbor latitude,distance,counts,id,business_id,name,address,postal_code,attributes,stars,categories
Boston Pizza,-113.6126328,53.54173279,65359,Mucho Burrito,-113.50928,53.541206,[305 325 158],30,65359,YB7XhN4rJbF0O0WfEClYgA,Mucho Burrito,10124 109th St NW,T5J 1M7,"{""NoiseLevel"":""u'average'"",""HasTV"":""True"",""Caters"":""True"",""OutdoorSeating"":""False"",""RestaurantsAttire"":""u'casual'"",""WiFi"":""u'no'"",""RestaurantsReservations"":""False"",""RestaurantsTakeOut"":""True"",""Alcohol"":""u'none'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""GoodForKids"":""True"",""RestaurantsPriceRange2"":""2"",""BikeParking"":""True"",""RestaurantsDelivery"":""True"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""RestaurantsGoodForGroups"":""True""}",3,"Restaurants, Mexican, Fast Food"
Boston Pizza,-113.6126328,53.54173279,45810,McDonald's,-113.495735,53.487587,[293  82],30,45810,uVXm-khx_kNEnhKLgn8jUg,McDonald's,10375 51st Avenue,T6H 5H4,"{""BikeParking"":""True"",""OutdoorSeating"":""False"",""RestaurantsTakeOut"":""True"",""Caters"":""False"",""RestaurantsReservations"":""False"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""HasTV"":""True"",""RestaurantsPriceRange2"":""1"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"",""GoodForKids"":""True"",""RestaurantsGoodForGroups"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}"",""Alcohol"":""u'none'"",""NoiseLevel"":""u'average'"",""WiFi"":""u'free'"",""DriveThru"":""True"",""RestaurantsTableService"":""False"",""RestaurantsAttire"":""u'casual'"",""BusinessAcceptsCreditCards"":""True"",""RestaurantsDelivery"":""True""}",2,"Burgers, Restaurants, Food, Coffee & Tea, Fast Food"
Boston Pizza,-113.6126328,53.54173279,61060,Hudsons Canadian Tap House,-113.518684,53.522728,"[198 212 226 555 171 268 142 424 281 129 421  42 409 485 380 507 253 153
 179 337 334 328 139 557  12 359]",30,61060,juMdDGVfpk49wWCZMrT0Ng,Hudsons Canadian Tap House,11113 87 Avenue Northwest,T6G 0X8,"{""RestaurantsGoodForGroups"":""True"",""RestaurantsAttire"":""u'casual'"",""GoodForKids"":""False"",""Alcohol"":""u'full_bar'"",""RestaurantsPriceRange2"":""2"",""RestaurantsReservations"":""True"",""RestaurantsDelivery"":""False"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""WiFi"":""u'no'"",""OutdoorSeating"":""False"",""HasTV"":""True"",""Caters"":""False"",""RestaurantsTakeOut"":""False"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""NoiseLevel"":""u'loud'""}",3.5,"Pubs, Chicken Wings, Sports Bars, Burgers, Restaurants, Bars, Nightlife, American (New)"
Boston Pizza,-113.6126328,53.54173279,47796,Tim Hortons,-113.49512,53.51149,[],30,47796,4G9WWWYD_jsklt8WGd_j6g,Tim Hortons,7502 Gateway Boulevard NW,T6E 6E8,"{""GoodForKids"":""True"",""RestaurantsGoodForGroups"":""True"",""RestaurantsTakeOut"":""True"",""RestaurantsPriceRange2"":""2"",""RestaurantsDelivery"":""False"",""RestaurantsReservations"":""False"",""Alcohol"":""u'none'"",""RestaurantsAttire"":""u'casual'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""WiFi"":""'free'"",""OutdoorSeating"":""False""}",2,"Delis, Coffee & Tea, Food, Restaurants, Sandwiches"
Boston Pizza,-113.6126328,53.54173279,46794,Subway,-113.52031,53.52141,"[468 467 104 128 351 379 536 183 214 460 167 107  50  87 120  33 141  11
 367 349 283 308  28 494   4 375 420 492]",30,46794,#NAME?,Subway,"Newton Place University of Alberta, 8511 112th St",T6G 2L7,"{""RestaurantsPriceRange2"":""1"",""RestaurantsAttire"":""u'casual'"",""RestaurantsTakeOut"":""True"",""RestaurantsDelivery"":""False"",""OutdoorSeating"":""False"",""Alcohol"":""u'none'"",""GoodForKids"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""RestaurantsReservations"":""False"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""RestaurantsGoodForGroups"":""True"",""NoiseLevel"":""u'average'"",""WiFi"":""u'free'"",""HasTV"":""True""}",3,"Sandwiches, Restaurants, Fast Food"
Boston Pizza,-113.6126328,53.54173279,52639,Tim Hortons,-113.52033,53.520603,[],30,52639,DKsFd47sx8Cz6qsUPLOJ7A,Tim Hortons,8427 112 Street NW,T6G 1K5,"{""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'touristy': False, 'trendy': False, 'casual': True}"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"",""Caters"":""True"",""RestaurantsAttire"":""u'casual'"",""RestaurantsPriceRange2"":""1"",""RestaurantsReservations"":""False"",""Alcohol"":""u'none'"",""RestaurantsTakeOut"":""True"",""RestaurantsGoodForGroups"":""True"",""RestaurantsDelivery"":""False"",""OutdoorSeating"":""True"",""BikeParking"":""True"",""NoiseLevel"":""u'loud'"",""HasTV"":""True"",""GoodForKids"":""True"",""WiFi"":""u'free'""}",3,"Donuts, Sandwiches, Delis, Coffee & Tea, Food, Breakfast & Brunch, Restaurants"
Boston Pizza,-113.6126328,53.54173279,82631,Quiznos,-113.61783,53.537445,[252 146 137 156 422 218   9 423],30,82631,U3dnKuTf1PDtJVpVIyckNQ,Quiznos,9940 170th St NW,T5T 6G7,"{""Alcohol"":""u'none'"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'upscale': False, 'touristy': False, 'trendy': False, 'hipster': False, 'casual': False}"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""RestaurantsPriceRange2"":""1"",""OutdoorSeating"":""False"",""RestaurantsTakeOut"":""True"",""RestaurantsReservations"":""False"",""Caters"":""True"",""GoodForKids"":""True"",""NoiseLevel"":""u'quiet'"",""RestaurantsAttire"":""u'casual'"",""HasTV"":""True"",""RestaurantsDelivery"":""True""}",3,"Restaurants, Sandwiches"
Boston Pizza,-113.6126328,53.54173279,48344,Bliss Baked Goods,-113.56747,53.551575,[489 418 462 202  30],30,48344,r06dyqBY7x_WMR9vIbp3CA,Bliss Baked Goods,10710-142 Street,T5N 2P7,"{""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""RestaurantsPriceRange2"":""2"",""BikeParking"":""True"",""NoiseLevel"":""u'quiet'"",""WiFi"":""u'no'"",""RestaurantsAttire"":""u'casual'"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"",""GoodForKids"":""True"",""WheelchairAccessible"":""True"",""RestaurantsGoodForGroups"":""False"",""Alcohol"":""u'none'"",""HappyHour"":""False"",""Caters"":""True"",""RestaurantsDelivery"":""False"",""RestaurantsTakeOut"":""True"",""DogsAllowed"":""False"",""OutdoorSeating"":""False"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""HasTV"":""False"",""BYOB"":""False"",""Corkage"":""False"",""RestaurantsTableService"":""False"",""RestaurantsReservations"":""True""}",4.5,"Donuts, Custom Cakes, Restaurants, Food, Specialty Food, Kosher, Bakeries"
Boston Pizza,-113.6126328,53.54173279,29601,A&W,-113.61043,53.541634,[514 362 394 294 540 307 353 355],30,29601,5DFvFAo3zI7sMPspDZKGNg,A&W,220 Mayfield Common NW,T5P 4B3,"{""RestaurantsReservations"":""False"",""GoodForKids"":""True"",""RestaurantsGoodForGroups"":""True"",""RestaurantsPriceRange2"":""1"",""Alcohol"":""u'none'"",""RestaurantsTakeOut"":""True"",""HasTV"":""False"",""RestaurantsAttire"":""u'casual'"",""BikeParking"":""False"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""DriveThru"":""True"",""RestaurantsDelivery"":""True"",""Caters"":""False"",""OutdoorSeating"":""True"",""NoiseLevel"":""u'average'"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"",""BusinessAcceptsCreditCards"":""True"",""WiFi"":""'no'""}",3,"Breakfast & Brunch, Burgers, Restaurants, Fast Food"
Boston Pizza,-113.6126328,53.54173279,34326,Rodeo Burgers,-113.490555,53.62237,[ 29 103 538  54 166 168  57 387   3 259 205 426 496 264 487 315 272],30,34326,8xTB4N_kRvxaZLV_qIKZ_A,Rodeo Burgers,16045 97th Street NW,T5X 6E4,"{""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""RestaurantsGoodForGroups"":""True"",""RestaurantsPriceRange2"":""2"",""RestaurantsAttire"":""u'casual'"",""RestaurantsTakeOut"":""True"",""OutdoorSeating"":""False"",""NoiseLevel"":""u'quiet'"",""Alcohol"":""u'beer_and_wine'"",""WiFi"":""u'free'"",""RestaurantsReservations"":""False"",""HasTV"":""True"",""RestaurantsDelivery"":""False"",""GoodForKids"":""True"",""Caters"":""True"",""BikeParking"":""True"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"",""DriveThru"":""False""}",3,"Fast Food, Restaurants, Burgers"
Boston Pizza,-113.6126328,53.54173279,79808,Burger King,-113.49628,53.47836,[177 297 427],30,79808,V7IHpr1xzFIf_jp876HoAw,Burger King,4212 Calgary Trail NW,T6J 6Y8,"{""BikeParking"":""True"",""RestaurantsTakeOut"":""True"",""Caters"":""False"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""RestaurantsPriceRange2"":""1"",""GoodForKids"":""True"",""WiFi"":""u'free'"",""OutdoorSeating"":""False"",""RestaurantsAttire"":""u'casual'"",""NoiseLevel"":""u'average'"",""RestaurantsGoodForGroups"":""True"",""RestaurantsReservations"":""False"",""Alcohol"":""u'none'"",""HasTV"":""True"",""RestaurantsDelivery"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",3.5,"Fast Food, Restaurants"
Boston Pizza,-113.6126328,53.54173279,89639,Italian Centre Shop,-113.499756,53.487473,[],30,89639,6RyyMSq4T5G8mILUaALHfw,Italian Centre Shop,5028 104A Street NW,T6H 6A2,"{""OutdoorSeating"":""True"",""RestaurantsGoodForGroups"":""True"",""GoodForKids"":""True"",""RestaurantsTakeOut"":""True"",""RestaurantsPriceRange2"":""2"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""BikeParking"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""RestaurantsReservations"":""False"",""RestaurantsAttire"":""'casual'"",""Alcohol"":""'none'"",""Caters"":""True"",""NoiseLevel"":""u'average'"",""ByAppointmentOnly"":""False"",""RestaurantsDelivery"":""True"",""HasTV"":""True""}",4,"Food, Ethnic Food, Delicatessen, Delis, International Grocery, Italian, Specialty Food, Pizza, Restaurants, Grocery"
Boston Pizza,-113.6126328,53.54173279,26185,Boston Pizza,-113.4823,53.425488,[415 496 487 315 338],30,26185,xuAfXbfEYJeFlDg7ORudEw,Boston Pizza,9630 Ellerslie Road SW,T6X 0N5,"{""RestaurantsGoodForGroups"":""True"",""GoodForKids"":""True"",""WiFi"":""'free'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""NoiseLevel"":""'average'"",""RestaurantsPriceRange2"":""2"",""RestaurantsTakeOut"":""True"",""RestaurantsReservations"":""True"",""BikeParking"":""False"",""HasTV"":""True"",""OutdoorSeating"":""False"",""Alcohol"":""'full_bar'"",""RestaurantsTableService"":""True"",""DriveThru"":""False"",""RestaurantsAttire"":""'casual'"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""RestaurantsDelivery"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""Caters"":""False""}",3,"Pizza, Italian, Restaurants, Burgers, American (Traditional)"
IHOP,-113.4942017,53.47437286,77711,Tokyo Express,-113.42297,53.455025,[  1 407 175 483 386 527 464],10,77711,#NAME?,Tokyo Express,5220 23rd Avenue NW,T6L 6Y7,"{""RestaurantsGoodForGroups"":""False"",""RestaurantsDelivery"":""False"",""RestaurantsTakeOut"":""True"",""GoodForKids"":""True"",""RestaurantsReservations"":""False"",""HasTV"":""True"",""WiFi"":""'free'"",""OutdoorSeating"":""False"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""BikeParking"":""False"",""RestaurantsAttire"":""'casual'"",""RestaurantsPriceRange2"":""1""}",2.5,"Fast Food, Restaurants, Japanese, Sushi Bars"
IHOP,-113.4942017,53.47437286,100467,Boston Pizza,-113.62384,53.522846,[ 76 326  21 385 119 282 150  41 192 145 170  72 476 329 410  46 430 515],10,100467,Do61v9fjRDwhK_Zul1ll4g,Boston Pizza,1678-8882 170 St NW,T5T 4M2,"{""RestaurantsGoodForGroups"":""True"",""RestaurantsReservations"":""True"",""BikeParking"":""True"",""RestaurantsAttire"":""u'casual'"",""HasTV"":""True"",""RestaurantsPriceRange2"":""2"",""NoiseLevel"":""u'loud'"",""RestaurantsTakeOut"":""True"",""GoodForKids"":""True"",""Alcohol"":""u'full_bar'"",""OutdoorSeating"":""False"",""Caters"":""False"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""WiFi"":""'free'"",""RestaurantsDelivery"":""True"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",2.5,"Italian, Pizza, Restaurants"
IHOP,-113.4942017,53.47437286,9874,Buffet Royale Carvery,-113.61911,53.531693,[146 137 156 422 218  17   9],10,9874,EQr1Vo4yVsSy7hSbO4iURA,Buffet Royale Carvery,17202 95 Avenue,T5T 6N8,"{""HasTV"":""True"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"",""OutdoorSeating"":""False"",""GoodForKids"":""True"",""RestaurantsAttire"":""u'casual'"",""Alcohol"":""u'full_bar'"",""WiFi"":""u'free'"",""RestaurantsGoodForGroups"":""True"",""RestaurantsPriceRange2"":""2"",""RestaurantsReservations"":""True"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': True, 'classy': False, 'casual': True}"",""NoiseLevel"":""u'average'"",""RestaurantsDelivery"":""True"",""Caters"":""False"",""BikeParking"":""True"",""RestaurantsTakeOut"":""True""}",3,"Breakfast & Brunch, Seafood, Buffets, Chinese, Restaurants"
IHOP,-113.4942017,53.47437286,60586,The Burger's Priest,-113.48371,53.45225,[ 51  96 399 113 220  36  77 480  59  37],10,60586,XnI4rF-RUzJaRhogyVxIEA,The Burger's Priest,2125 98th Street NW,T6N 1K7,"{""GoodForKids"":""True"",""RestaurantsDelivery"":""True"",""RestaurantsGoodForGroups"":""True"",""RestaurantsPriceRange2"":""2"",""WiFi"":""'free'"",""BikeParking"":""True"",""OutdoorSeating"":""True"",""DriveThru"":""False"",""RestaurantsTableService"":""False"",""RestaurantsTakeOut"":""True"",""RestaurantsAttire"":""u'casual'"",""GoodForMeal"":""{u'breakfast': None, u'brunch': None, u'lunch': True, u'dinner': True, u'latenight': None, u'dessert': None}"",""Alcohol"":""'none'"",""HasTV"":""True"",""Ambience"":""{'touristy': None, 'hipster': None, 'romantic': None, 'intimate': None, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}"",""RestaurantsReservations"":""False"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",3,"Restaurants, Burgers"
IHOP,-113.4942017,53.47437286,56655,A&W,-113.416534,53.541237,[305 325 158],10,56655,nirGUDMerC3EIrkCxf9JkQ,A&W,4940 101 Avenue NW,T6A 3Y1,"{""RestaurantsTakeOut"":""True"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"",""HasTV"":""True"",""RestaurantsDelivery"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",3,"Burgers, Restaurants, Fast Food"
IHOP,-113.4942017,53.47437286,68418,New Asian Village,-113.49409,53.52387,[293  82],10,68418,VbOgke1g-_5oEjh3CRLtyA,New Asian Village,10143 Saskatchewan Dr NW,T6E 4R5,"{""RestaurantsAttire"":""u'casual'"",""RestaurantsGoodForGroups"":""True"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""HasTV"":""False"",""NoiseLevel"":""u'average'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""Alcohol"":""u'full_bar'"",""RestaurantsReservations"":""True"",""RestaurantsTakeOut"":""True"",""OutdoorSeating"":""True"",""GoodForKids"":""True"",""RestaurantsDelivery"":""False"",""RestaurantsPriceRange2"":""2"",""WiFi"":""u'no'"",""BikeParking"":""True""}",3.5,"Indian, Pakistani, Restaurants, Chinese"
